YEAR,MO,DY,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_SW_DNI,CLRSKY_SFC_SW_DWN,ALLSKY_SFC_SW_DIFF,ALLSKY_KT,ALLSKY_SFC_UV_INDEX,ALLSKY_SFC_UVB,ALLSKY_SFC_UVA,ALLSKY_SFC_PAR_TOT
2017,6,5,2.63,0.88,6.48,2.01,0.23,0.68,0.13,6.92,53.39
2017,6,6,1.93,0.75,8.18,1.46,0.16,0.73,0.15,6.34,41.38
2017,6,7,6.2,5.63,8.35,2.31,0.54,1.64,0.33,15.67,117.48
2017,6,8,5.33,3.4,8.56,3.11,0.46,1.47,0.3,13.8,102.09
2017,6,9,7.64,7.41,8.35,2.12,0.66,-999,0.42,18.48,141.98
2017,6,10,7.49,7.62,8,2.06,0.65,1.84,0.37,18.02,140.87
2017,6,11,7.88,8.41,8.16,2.15,0.68,2.02,0.41,18.7,147.77
2017,6,12,8.23,9.95,8.26,1.34,0.71,2.34,0.46,19.73,154.6
2017,6,13,7.58,7.83,7.75,2.04,0.66,2.03,0.41,17.43,140.55
2017,6,14,6.77,6.08,7.98,2.23,0.59,-999,0.45,17.3,130.93
2017,6,15,7.38,7.02,7.92,2.28,0.64,-999,0.45,17.89,139.06
2017,6,16,2.65,1.25,7.88,1.82,0.23,1.07,0.21,8.22,56.17
2017,6,17,3.17,1.22,7.47,2.37,0.27,1.16,0.23,9.54,66.76
2017,6,18,6.46,4.69,7.5,2.99,0.55,2.01,0.4,16.12,125.88
2017,6,19,6.8,5.78,7.75,2.81,0.59,2.1,0.42,17.06,132.59
2017,6,20,7.63,7.42,8.42,2.12,0.66,-999,0.48,18.76,143.69
2017,6,21,7,6.76,8.2,2.23,0.6,-999,0.41,17.23,132.71
2017,6,22,7.97,8.58,8.34,1.8,0.69,2.16,0.43,19.56,150.98
2017,6,23,4.38,2.04,7.57,2.97,0.38,1.54,0.3,12.33,89.73
2017,6,24,7.13,6.94,8.02,1.77,0.62,-999,0.48,18.05,136.98
2017,6,25,7.44,8.16,8.26,1.74,0.64,2.26,0.45,18.31,141.27
2017,6,26,8.04,9.45,8.42,1.48,0.7,2.32,0.46,19.01,147.88
2017,6,27,6.19,5.09,7.96,2.55,0.54,1.79,0.36,15.3,117.43
2017,6,28,7.9,8.76,8.12,1.75,0.69,1.85,0.38,18.11,143.67
2017,6,29,6.79,4.27,7.84,3.66,0.59,1.74,0.35,16.09,127.41
2017,6,30,7.1,6.04,7.66,2.63,0.62,1.96,0.39,17.29,135.71
2017,7,1,5.36,2.96,7.65,3.12,0.47,1.88,0.38,14.58,107.3
2017,7,2,7.85,8.9,7.95,1.54,0.68,2.48,0.48,18.8,147.67
2017,7,3,7.28,7.23,8.14,2.35,0.63,2.2,0.44,18.01,139.07
2017,7,4,6.76,6.28,8.07,2.27,0.59,2.12,0.42,17.27,131.03
2017,7,5,7.42,7.12,8.11,2.45,0.65,2.18,0.44,18.44,141.98
2017,7,6,3.33,1.13,7.96,2.55,0.29,1.2,0.24,10.02,69.27
2017,7,7,4.45,3.54,7.75,2.41,0.39,1.48,0.3,12.51,91.14
2017,7,8,6.82,5.3,7.78,2.75,0.59,2.16,0.43,17.24,131.58
2017,7,9,8.15,9.63,8.25,1.37,0.71,2.33,0.46,19.3,150.59
2017,7,10,6.99,7.25,7.93,2.33,0.62,1.91,0.38,16.84,131.88
2017,7,11,5.54,3.01,7.4,3.33,0.48,1.72,0.34,14.24,108.23
2017,7,12,6.43,4.5,7.36,3.01,0.57,1.91,0.38,15.96,124.17
2017,7,13,5.25,3.21,6.99,2.85,0.46,1.71,0.34,13.11,102.07
2017,7,14,1.75,0.62,6.89,1.3,0.16,0.73,0.15,5.61,38.54
2017,7,15,5.77,4.73,7.76,2.18,0.51,1.93,0.38,14.74,111.43
2017,7,16,7.87,9.27,7.93,1.46,0.7,2.23,0.45,18.81,147.7
2017,7,17,5.88,3.72,7.56,3.47,0.52,1.8,0.36,14.95,114.55
2017,7,18,7.37,7.4,7.51,1.98,0.66,2.09,0.41,17.68,139.38
2017,7,19,7.21,7.33,7.34,1.98,0.65,2.04,0.41,17.28,137.34
2017,7,20,6.7,5.08,7.42,2.76,0.6,2.12,0.41,16.47,128.33
2017,7,21,7.15,6.49,7.79,2.58,0.64,2.34,0.46,17.77,137.46
2017,7,22,6.27,4.6,7.1,2.85,0.56,1.94,0.38,14.91,119.02
2017,7,23,4.48,2.06,6.76,2.94,0.41,1.55,0.31,11.8,89.01
2017,7,24,3.61,1.64,7.44,2.58,0.33,1.3,0.26,10.55,74.34
2017,7,25,3.48,1.4,7.57,2.51,0.32,1.25,0.25,10.2,71.05
2017,7,26,7.3,8.46,7.96,1.49,0.66,2.09,0.41,18.1,139.09
2017,7,27,4.33,1.76,6.44,3.05,0.4,1.26,0.25,10.52,83.19
2017,7,28,5.63,2.73,7.47,3.69,0.52,1.91,0.38,14.64,110.14
2017,7,29,2.68,1.03,7.41,1.99,0.25,1.06,0.21,8.33,56.28
2017,7,30,7.72,10.08,7.89,1.1,0.71,-999,0.42,18.33,143.73
2017,7,31,7.44,9.84,7.43,1.31,0.69,1.98,0.4,17.52,138.47
2017,8,1,7.2,8.16,7.23,1.53,0.67,1.95,0.38,16.77,134.33
2017,8,2,4.44,2.01,7.03,2.91,0.41,1.5,0.3,11.64,87.73
2017,8,3,6.67,6.54,6.81,2.06,0.62,1.84,0.37,15.41,124.65
2017,8,4,6.75,6.94,7.22,1.89,0.63,2.03,0.4,16.45,128.79
2017,8,5,4.78,3.6,7.22,2.53,0.45,1.52,0.3,12.56,94.02
2017,8,6,5.51,3.8,7.32,2.97,0.52,1.49,0.3,13.73,104.78
2017,8,7,1.09,0.46,6.31,0.81,0.1,0.41,0.08,3.59,24.24
2017,8,8,3.91,1.85,6.93,2.76,0.38,-999,0.25,10.36,77.65
2017,8,9,7.33,8.98,7.32,1.25,0.7,1.88,0.38,16.96,135.02
2017,8,10,6.97,7.93,7.23,1.53,0.67,1.84,0.37,16,127.78
2017,8,11,6.3,5.62,7.02,2.61,0.61,1.84,0.37,15.19,119.38
2017,8,12,2.9,1.12,6.53,2.21,0.28,0.97,0.2,8.28,59.81
2017,8,13,6.58,6.71,7.14,2.06,0.64,1.88,0.38,15.63,123.05
2017,8,14,3.97,1.98,6.73,2.81,0.39,1.24,0.25,10.31,77.97
2017,8,15,1.74,0.69,6.55,1.33,0.17,0.68,0.13,5.55,37.55
2017,8,16,6.43,6.65,6.92,2.12,0.64,1.84,0.37,15.33,121.05
2017,8,17,6.57,7.26,6.92,1.74,0.66,1.88,0.38,15.7,124.03
2017,8,18,3.21,1.52,6.48,2.22,0.32,1.24,0.25,9.49,66.78
2017,8,19,6.1,6.14,6.66,1.86,0.62,1.86,0.37,14.84,115.62
2017,8,20,6.88,8.24,6.91,1.53,0.7,1.89,0.38,15.94,127.05
2017,8,21,6.39,6.52,6.74,2.13,0.65,1.74,0.34,15.23,120.47
2017,8,22,5.66,5.14,6.38,2.21,0.58,1.68,0.34,13.95,108.92
2017,8,23,5.42,4.24,6.71,2.72,0.56,1.7,0.34,13.94,105.59
2017,8,24,6.53,7.82,6.76,1.51,0.68,1.79,0.35,15.17,120.8
2017,8,25,6.01,6.62,6.68,1.61,0.62,1.65,0.33,14.28,112.18
2017,8,26,6.41,7.27,6.42,1.64,0.67,1.52,0.3,14.23,115.83
2017,8,27,5.69,3.94,6.63,3.22,0.6,1.45,0.29,13.45,105.7
2017,8,28,5.65,3.96,6.8,3.28,0.6,1.54,0.3,13.68,105.73
2017,8,29,1.42,0.55,6.47,1.11,0.15,0.52,0.1,4.7,30.57
2017,8,30,6.22,7.63,6.6,1.3,0.66,1.72,0.34,14.9,116.59
2017,8,31,5.59,6.33,6.29,1.51,0.6,1.52,0.3,13.41,105.53
2017,9,1,6.57,7.38,7.02,1.79,0.71,1.74,0.34,15.13,117.98
2017,9,2,2.62,0.93,6.44,2.04,0.29,0.88,0.17,7.71,53.44
2017,9,3,3.09,1.77,6.13,2.11,0.34,-999,0.2,8.61,62.05
2017,9,4,6.34,8.41,6.32,1.14,0.7,1.48,0.3,14.44,116.51
2017,9,5,5.85,6.56,5.87,1.68,0.66,1.47,0.3,13.64,109.8
2017,9,6,2.34,0.9,5.31,1.77,0.27,0.78,0.16,6.65,48.01
2017,9,7,5.64,6.14,6.05,1.66,0.64,1.49,0.3,13.07,104.03
2017,9,8,5.8,7.15,6.19,1.44,0.66,-999,0.28,13.5,107.54
2017,9,9,6.08,7.87,6.21,1.3,0.7,1.41,0.28,13.88,111.2
2017,9,10,5.83,7.23,5.99,1.42,0.67,1.2,0.24,13.06,106.4
2017,9,11,5.58,5.96,5.74,1.89,0.65,1.3,0.26,12.02,99.71
2017,9,12,4.63,2.1,5.75,3.28,0.55,1.33,0.25,10.54,84.4
2017,9,13,5.2,5.85,5.73,1.58,0.62,1.42,0.28,12.64,99.57
2017,9,14,3.63,2.23,5.59,2.17,0.43,1.2,0.23,9.58,70.93
2017,9,15,5.48,7.01,5.58,1.2,0.66,1.39,0.28,12.94,103.62
2017,9,16,3.91,3.19,5.48,2.15,0.48,1.11,0.22,10,76.28
2017,9,17,3.6,3.25,5.56,1.67,0.44,1.1,0.22,9.41,70.73
2017,9,18,2.39,1.01,5.45,1.81,0.3,0.81,0.16,6.87,48.37
2017,9,19,2.07,0.88,5.29,1.58,0.26,0.75,0.15,6.2,42.96
2017,9,20,3.28,1.22,5.36,2.57,0.41,1.12,0.21,9.02,65.79
2017,9,21,2.65,1,5.5,2.1,0.34,0.92,0.18,7.64,53.84
2017,9,22,4.66,5.72,5.4,1.32,0.59,1.32,0.26,11.53,90.16
2017,9,23,5.49,8.39,5.45,0.83,0.7,1.47,0.29,12.89,103.95
2017,9,24,5.36,8.29,5.32,0.81,0.7,1.34,0.27,12.54,101.84
2017,9,25,4.88,6.23,4.96,1.31,0.64,1.23,0.24,11.31,91.92
2017,9,26,4.01,2.3,5.15,2.69,0.53,1.3,0.25,10.29,78.45
2017,9,27,3.89,4.21,4.93,1.76,0.52,-999,0.22,9.66,76.19
2017,9,28,5.2,7.74,5.17,0.99,0.7,1.34,0.27,11.84,96.36
2017,9,29,4.93,7.3,5.37,1.12,0.66,1.23,0.24,11.14,89.8
2017,9,30,2.84,2.45,4.86,1.65,0.39,0.75,0.15,6.98,53.62
2017,10,1,5.28,8.84,5.25,0.71,0.73,0.99,0.2,11.63,95.64
2017,10,2,5.28,8.94,5.23,0.65,0.73,1.07,0.22,11.54,95.2
2017,10,3,5.02,7.97,5.1,0.97,0.7,1.05,0.21,11.12,91.58
2017,10,4,5.14,8.63,5.1,0.73,0.73,1.09,0.22,11.2,92.73
2017,10,5,3.96,3.71,4.64,1.98,0.57,1.02,0.2,9.62,76.05
2017,10,6,4.34,5.03,4.57,1.53,0.62,1.02,0.2,10.2,82.35
2017,10,7,3.68,2.6,4.41,2.32,0.54,0.92,0.18,8.77,69.77
2017,10,8,1.54,0.6,4.15,1.25,0.23,0.54,0.1,4.66,32.24
2017,10,9,0.98,0.57,4.26,0.74,0.15,0.38,0.07,3.12,20.61
2017,10,10,4.29,5.88,4.51,1.38,0.65,1.09,0.21,10.02,81.61
2017,10,11,2.42,1.08,4.22,1.85,0.37,0.75,0.14,6.48,47.29
2017,10,12,3.19,2.88,4.4,1.89,0.49,0.85,0.16,8.12,62.14
2017,10,13,3.27,2.52,4.39,2.05,0.51,0.86,0.17,8.34,63.46
2017,10,14,2.28,1.34,4.19,1.65,0.36,0.67,0.13,6.23,45.47
2017,10,15,2.37,1.67,4.08,1.61,0.38,0.62,0.12,6.18,46.05
2017,10,16,1.82,0.88,4.26,1.4,0.29,0.53,0.11,5.13,35.87
2017,10,17,4.58,8.39,4.54,0.62,0.74,0.83,0.16,9.62,80.84
2017,10,18,4.31,7.86,4.28,0.66,0.7,0.7,0.14,9.16,77.76
2017,10,19,4.41,8.3,4.36,0.6,0.73,0.76,0.16,9.3,78.55
2017,10,20,4.34,8.27,4.29,0.57,0.73,0.77,0.16,9.32,78.53
2017,10,21,4.03,5.92,4.18,1.18,0.68,0.72,0.15,8.68,72.47
2017,10,22,3.87,5.74,4.05,1.19,0.66,0.7,0.14,8.24,69.16
2017,10,23,3.12,3.24,3.93,1.75,0.54,0.7,0.14,7.5,59.23
2017,10,24,1.84,0.92,3.69,1.43,0.32,0.53,0.1,5.09,36.77
2017,10,25,1.5,0.96,3.61,1.07,0.27,0.42,0.09,4.02,28.95
2017,10,26,1.59,0.94,3.53,1.16,0.28,0.38,0.08,4.16,30.27
2017,10,27,3.91,7.42,3.88,0.71,0.7,0.57,0.12,8.08,69.42
2017,10,28,3.55,5.96,3.84,1,0.65,0.62,0.12,7.67,63.9
2017,10,29,0.44,0.39,3.38,0.29,0.08,0.12,0.02,1.34,8.62
2017,10,30,3.01,3.58,3.56,1.34,0.56,0.6,0.12,6.67,54
2017,10,31,3.51,6,3.71,0.97,0.66,0.6,0.12,7.45,62.76
2017,11,1,1.89,0.85,3.4,1.55,0.36,0.46,0.09,4.88,35.91
2017,11,2,2.75,3.41,3.28,1.34,0.53,0.52,0.1,6.31,51.3
2017,11,3,2.95,3.32,3.28,1.57,0.58,0.55,0.11,6.63,54.88
2017,11,4,2.66,1.45,3.56,2.09,0.52,0.55,0.11,6.12,48.15
2017,11,5,0.87,0.54,3.09,0.68,0.17,0.23,0.05,2.56,17.45
2017,11,6,0.95,0.5,3.03,0.76,0.19,0.25,0.05,2.76,18.94
2017,11,7,0.82,0.59,3.25,0.63,0.16,0.22,0.05,2.34,15.92
2017,11,8,1.5,0.86,3.26,1.15,0.31,0.36,0.07,4,28.61
2017,11,9,2.67,3.84,3.24,1.07,0.55,0.41,0.09,5.87,48.3
2017,11,10,3.05,4.83,3.49,1.2,0.64,0.44,0.09,6.29,52.69
2017,11,11,3.34,5.9,3.39,0.89,0.71,0.42,0.09,6.59,56.97
2017,11,12,2.58,2.52,3.25,1.62,0.55,0.39,0.08,5.68,46.21
2017,11,13,0.65,0.4,2.81,0.5,0.14,0.14,0.03,1.85,12.62
2017,11,14,0.94,0.63,2.96,0.69,0.2,0.18,0.04,2.55,17.84
2017,11,15,2.4,2.76,3.11,1.29,0.53,0.37,0.08,5.28,42.98
2017,11,16,1.91,2.58,2.86,0.93,0.43,0.3,0.06,4.34,34.77
2017,11,17,3.15,6.21,3.18,0.79,0.71,0.34,0.07,6.2,54.15
2017,11,18,1.18,0.49,2.92,0.99,0.27,0.19,0.04,3.16,22.34
2017,11,19,2.26,3.18,2.73,1.01,0.52,0.3,0.06,4.88,40.23
2017,11,20,2.27,3.35,2.96,1,0.53,0.26,0.05,4.78,39.63
2017,11,21,2.86,4.87,3.03,1.05,0.67,0.29,0.05,5.71,49.66
2017,11,22,0.99,0.8,2.38,0.72,0.23,0.13,0.02,2.46,18.46
2017,11,23,2.78,5.18,2.92,0.83,0.66,0.28,0.05,5.41,46.94
2017,11,24,2.8,6.29,2.77,0.57,0.68,0.3,0.06,5.41,48.84
2017,11,25,2.73,5.57,2.86,0.72,0.66,0.34,0.07,5.49,48.12
2017,11,26,2.58,4.6,2.91,0.83,0.63,0.35,0.07,5.33,45.23
2017,11,27,2.53,3.86,2.65,1.1,0.62,0.31,0.06,5.12,44.05
2017,11,28,2.62,4.97,2.64,0.81,0.65,0.33,0.07,5.3,46.59
2017,11,29,2.65,5.41,2.71,0.74,0.66,0.39,0.08,5.2,46.01
2017,11,30,1.54,0.98,2.64,1.24,0.39,0.29,0.05,3.73,28.05
2017,12,1,2.64,5.83,2.66,0.62,0.67,0.34,0.07,5.08,45.37
2017,12,2,2.13,2.32,2.67,1.32,0.55,0.26,0.05,4.54,37.68
2017,12,3,0.91,0.49,2.33,0.74,0.23,0.14,0.03,2.38,17.03
2017,12,4,2.26,3.75,2.34,0.9,0.59,0.23,0.05,4.42,38.76
2017,12,5,1,0.55,2.28,0.81,0.26,0.17,0.03,2.67,18.96
2017,12,6,1.65,1.31,2.67,1.21,0.44,0.26,0.05,3.8,29.79
2017,12,7,2.64,6.35,2.66,0.53,0.7,0.26,0.05,4.99,45.21
2017,12,8,1.11,0.55,2.55,0.93,0.3,0.16,0.03,2.86,20.48
2017,12,9,0.31,0.27,1.98,0.24,0.09,0.06,0.01,0.9,5.88
2017,12,10,2.23,3.58,2.32,0.97,0.6,0.27,0.05,4.31,37.5
2017,12,11,2.18,3.74,2.43,0.86,0.59,0.19,0.04,4.27,37.41
2017,12,12,0.91,0.45,2.18,0.78,0.25,0.12,0.02,2.4,17.22
2017,12,13,1.61,2.55,2.56,0.81,0.44,0.15,0.03,3.35,27.44
2017,12,14,1.55,2.13,2.34,0.86,0.42,0.14,0.03,3.25,26.4
2017,12,15,0.74,0.39,2.4,0.62,0.2,0.09,0.02,1.95,13.52
2017,12,16,1.94,2.87,2.38,0.96,0.53,0.18,0.04,4.02,34.04
2017,12,17,1.19,0.66,2.29,0.98,0.33,0.15,0.03,2.92,21.94
2017,12,18,1.69,2.02,2.15,0.98,0.46,0.2,0.04,3.67,30.19
2017,12,19,1.73,1.9,2.34,1.06,0.47,0.18,0.04,3.81,31.15
2017,12,20,1.47,0.85,2.55,1.21,0.4,0.2,0.04,3.53,26.47
2017,12,21,2.5,5.81,2.5,0.56,0.68,0.23,0.05,4.77,43.2
2017,12,22,0.46,0.3,2.06,0.37,0.12,0.06,0.02,1.3,8.76
2017,12,23,0.45,0.33,2.02,0.35,0.12,0.06,0.02,1.29,8.73
2017,12,24,1.57,1.14,2.47,1.19,0.43,0.2,0.04,3.67,28.4
2017,12,25,1.87,2.63,2.34,0.99,0.51,0.19,0.04,3.73,31.7
2017,12,26,2.04,2.74,2.49,1.19,0.55,0.18,0.04,4.12,34.69
2017,12,27,2.03,3.27,2.49,0.86,0.55,0.18,0.04,4.05,34.76
2017,12,28,2.5,4.42,2.61,0.96,0.67,0.2,0.04,4.7,41.47
2017,12,29,1.91,2.71,2.56,1.01,0.52,0.18,0.04,3.94,32.54
2017,12,30,0.73,0.44,2.46,0.59,0.2,0.09,0.02,1.95,13.31
2017,12,31,1.81,1.88,2.6,1.2,0.48,0.16,0.03,3.89,31.27
2018,1,1,2.37,4.58,2.7,0.83,0.63,0.16,0.03,4.45,38.91
2018,1,2,2.43,4.57,2.64,0.9,0.64,0.15,0.03,4.56,40.3
2018,1,3,2.46,4.66,2.69,0.93,0.65,0.17,0.03,4.62,40.73
2018,1,4,0.23,0.26,2.4,0.16,0.06,0.02,0.01,0.67,4.28
2018,1,5,2.13,3.18,2.69,1.04,0.55,0.16,0.03,4.23,35.67
2018,1,6,2.15,2.84,2.7,1.13,0.56,0.16,0.03,4.3,35.71
2018,1,7,2.39,4.08,2.76,0.97,0.62,0.17,0.03,4.67,40.45
2018,1,8,1.37,0.76,2.53,1.13,0.35,0.16,0.03,3.34,25.12
2018,1,9,2.53,5.02,2.69,0.81,0.64,0.25,0.05,4.98,43.88
2018,1,10,2.5,5.16,2.71,0.77,0.63,0.27,0.05,5.04,44.2
2018,1,11,1.31,0.71,2.51,1.09,0.33,0.2,0.04,3.35,24.57
2018,1,12,0.9,0.54,2.4,0.73,0.23,0.2,0.04,2.59,18.09
2018,1,13,2.34,3.78,2.62,0.97,0.58,0.32,0.06,4.98,41.95
2018,1,14,2.95,6.17,2.99,0.72,0.73,0.31,0.06,5.59,49.04
2018,1,15,1.61,1.93,2.81,0.99,0.39,0.19,0.04,3.65,28.31
2018,1,16,1.94,1.97,2.74,1.2,0.47,0.25,0.05,4.38,35.01
2018,1,17,0.84,0.48,2.62,0.69,0.2,0.12,0.02,2.37,16.25
2018,1,18,2.95,5.86,2.93,0.75,0.7,0.24,0.05,5.64,49.39
2018,1,19,2.32,2.2,2.9,1.49,0.55,0.26,0.05,4.92,40.38
2018,1,20,2.77,4.92,2.85,0.87,0.65,0.32,0.06,5.57,48.3
2018,1,21,2.5,2.99,2.74,1.36,0.58,0.34,0.07,5.15,43.98
2018,1,22,1.32,0.6,2.4,1.11,0.3,0.23,0.05,3.31,24.64
2018,1,23,0.88,0.76,2.64,0.63,0.2,0.16,0.03,2.48,17.57
2018,1,24,2.66,4.21,3.07,0.99,0.59,0.27,0.05,5.51,46.25
2018,1,25,3.35,7.42,3.32,0.56,0.74,0.29,0.05,6.38,56.38
2018,1,26,3.27,7.28,3.22,0.53,0.72,0.3,0.05,6.34,56.27
2018,1,27,2.89,4.16,3.15,1.25,0.62,0.36,0.07,6.05,51.27
2018,1,28,0.8,0.41,2.86,0.65,0.17,0.15,0.03,2.32,15.69
2018,1,29,1.49,1.14,3.07,0.98,0.32,0.23,0.05,3.77,27.8
2018,1,30,1.67,0.9,3.07,1.31,0.35,0.22,0.05,4,30.33
2018,1,31,3.34,6.21,3.4,0.85,0.7,0.3,0.05,6.54,56.93
2018,2,1,1.58,0.62,3.02,1.33,0.33,0.24,0.05,4,29.52
2018,2,2,2.62,3.45,3.44,1.2,0.53,0.3,0.06,5.45,44.89
2018,2,3,3.39,5.72,3.51,1.03,0.68,0.31,0.05,6.68,57.3
2018,2,4,1.52,0.67,3.4,1.25,0.3,0.27,0.05,4.09,29.07
2018,2,5,3.59,6.59,3.65,0.85,0.7,0.44,0.09,7.2,61.63
2018,2,6,1.52,0.85,3.3,1.18,0.3,0.21,0.05,3.76,27.91
2018,2,7,0.52,0.33,3.25,0.39,0.1,0.09,0.02,1.55,10.34
2018,2,8,3.48,5.43,3.74,1.13,0.66,0.41,0.08,6.95,58.96
2018,2,9,2.34,1.02,3.57,1.86,0.44,0.3,0.06,5.48,42.71
2018,2,10,1.64,0.66,3.52,1.34,0.3,0.3,0.06,4.28,31.32
2018,2,11,0.61,0.38,3.36,0.46,0.11,0.13,0.02,1.84,12.13
2018,2,12,1.58,1.98,3.73,0.87,0.29,0.27,0.05,3.91,29.73
2018,2,13,3.98,6.38,4.1,1.14,0.71,0.52,0.1,7.96,67.48
2018,2,14,3.28,4.26,3.81,1.35,0.59,0.48,0.09,7.22,59.48
2018,2,15,1.69,0.66,3.52,1.39,0.3,0.29,0.06,4.46,32.62
2018,2,16,1.37,0.64,3.75,1.09,0.24,0.33,0.07,3.95,27.39
2018,2,17,3.73,5.5,4.32,1.23,0.64,0.6,0.12,7.98,65.24
2018,2,18,4.31,7.78,4.31,0.82,0.73,0.74,0.15,8.88,75.18
2018,2,19,2.44,2.23,4,1.38,0.41,0.53,0.11,5.91,45.38
2018,2,20,2.9,3.03,3.86,1.48,0.48,0.61,0.12,6.51,53.13
2018,2,21,3.41,4.58,4.09,1.3,0.56,0.7,0.14,7.79,63.4
2018,2,22,0.64,0.37,3.66,0.47,0.1,0.19,0.04,1.95,13
2018,2,23,0.88,0.5,4.15,0.67,0.14,0.27,0.05,2.77,18.21
2018,2,24,1.67,1.35,4.03,1.07,0.27,0.46,0.09,4.51,32.51
2018,2,25,0.8,0.45,4.04,0.6,0.12,0.29,0.05,2.52,16.63
2018,2,26,2.01,0.86,4.57,1.6,0.31,0.59,0.12,5.38,38.18
2018,2,27,4.92,9.13,4.88,0.57,0.76,0.81,0.16,10.27,85.85
2018,2,28,4.57,6.48,4.66,1.2,0.7,0.65,0.12,9.72,80.59
2018,3,1,2.41,0.89,4.36,1.97,0.37,0.45,0.09,6.22,45.95
2018,3,2,0.59,0.39,4.66,0.43,0.09,0.13,0.03,1.93,12.27
2018,3,3,3.47,2.23,4.82,2.22,0.51,0.54,0.11,8.27,63.27
2018,3,4,2.42,1.57,4.98,1.71,0.35,0.42,0.09,6.07,44.13
2018,3,5,2.94,2.83,4.93,1.72,0.42,0.38,0.08,6.94,53.11
2018,3,6,5.03,7.78,5.01,1.05,0.72,0.66,0.12,10.49,87.34
2018,3,7,0.81,0.47,4.94,0.63,0.12,0.19,0.04,2.59,16.95
2018,3,8,4.17,4.96,5.23,1.58,0.59,0.63,0.12,9.34,74.1
2018,3,9,3.86,3.79,5.17,1.94,0.54,0.55,0.11,8.74,68.61
2018,3,10,4,4.12,5.16,1.79,0.55,0.55,0.11,8.83,69.53
2018,3,11,5.34,7.69,5.37,1.24,0.73,0.65,0.12,11.09,91.8
2018,3,12,3.1,1.65,5.09,2.32,0.42,0.49,0.1,7.6,57.26
2018,3,13,2.14,1.58,5.37,1.42,0.29,-999,0.08,5.55,40.6
2018,3,14,4.87,5.34,5.45,1.8,0.64,0.7,0.13,10.63,84.95
2018,3,15,5.19,6.45,5.42,1.51,0.68,0.63,0.12,10.99,89.99
2018,3,16,4.53,4.62,5.51,1.99,0.59,-999,0.12,10.02,79.4
2018,3,17,5.18,6.41,5.72,1.58,0.66,0.71,0.14,11.28,90.9
2018,3,18,5.82,8.88,5.8,0.9,0.74,0.84,0.16,12.34,101.48
2018,3,19,5.63,7.77,5.78,1.24,0.71,0.83,0.16,12.04,98.49
2018,3,20,1.2,0.5,5.86,0.94,0.15,0.29,0.05,3.8,25.02
2018,3,21,1.03,0.46,5.66,0.77,0.12,0.29,0.05,3.41,21.93
2018,3,22,4.75,4.51,5.91,2.19,0.59,0.79,0.16,10.98,85.98
2018,3,23,5.03,4.09,5.9,2.39,0.62,0.77,0.16,11.32,89.48
2018,3,24,5.7,7.1,5.78,1.35,0.69,0.8,0.16,12.09,98.25
2018,3,25,3.8,3.78,6.18,1.77,0.46,-999,0.13,9,68.67
2018,3,26,6.35,9.33,6.36,0.89,0.76,0.92,0.18,13.66,110.94
2018,3,27,4.03,1.45,6.54,3.13,0.48,0.81,0.16,10.04,74.51
2018,3,28,3.23,1.25,5.83,2.43,0.38,0.93,0.19,8.8,63.69
2018,3,29,1.83,0.79,5.7,1.35,0.21,0.6,0.12,5.55,37.94
2018,3,30,2.32,0.92,5.58,1.76,0.27,0.71,0.14,6.5,46.54
2018,3,31,6.8,10.27,6.77,0.76,0.78,1.32,0.27,14.69,118.16
2018,4,1,3.48,1.85,6.1,2.4,0.4,0.83,0.16,9.07,67.04
2018,4,2,3.53,2.66,6.39,2.01,0.4,0.84,0.16,8.94,66.28
2018,4,3,1.18,0.55,5.7,0.87,0.13,0.31,0.06,3.58,24.7
2018,4,4,2.01,1.01,5.99,1.52,0.23,0.55,0.11,5.72,40.39
2018,4,5,6.65,9.08,6.99,1.34,0.73,1.37,0.27,14.6,116.15
2018,4,6,3.01,1.4,6.17,2.23,0.33,0.62,0.12,7.79,57.46
2018,4,7,3.98,2.3,6.76,2.46,0.44,0.96,0.19,10.33,74.93
2018,4,8,6.25,6.86,6.99,1.67,0.68,1.21,0.24,14.03,109.23
2018,4,9,5.98,6.03,7.03,2.04,0.64,1.07,0.22,13.66,106.34
2018,4,10,3.4,3.11,6.7,1.52,0.37,0.75,0.15,8.23,62.14
2018,4,11,6.63,8.04,6.95,1.44,0.7,1.18,0.23,14.56,116.37
2018,4,12,4.73,2.4,6.39,3.26,0.5,0.98,0.2,11.32,87.72
2018,4,13,4.91,3.52,5.98,2.54,0.52,1.09,0.22,11.5,90.88
2018,4,14,6.62,7.51,6.64,1.65,0.69,1.48,0.3,15.13,120.99
2018,4,15,1.61,0.79,6.67,1.16,0.16,0.57,0.12,5.08,33.62
2018,4,16,3.43,2.75,6.62,1.78,0.35,1.02,0.2,9.02,66.45
2018,4,17,4.23,2.99,7.22,2.13,0.44,1.09,0.22,10.8,78.66
2018,4,18,6.24,6.32,7.12,2.05,0.64,1.26,0.25,14.3,111.68
2018,4,19,2.26,1.39,6.88,1.56,0.23,0.59,0.12,6.34,44.84
2018,4,20,7.52,9.86,7.51,1.19,0.76,1.34,0.27,16.86,133.34
2018,4,21,7.44,9.08,7.63,1.39,0.75,1.41,0.28,16.75,131.75
2018,4,22,7.65,10.68,7.73,0.96,0.77,1.54,0.31,17.07,135.17
