STATION,NAME,DATE,AWND,DAPR,MDPR,PGTM,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,TOBS,WDF2,WDF5,WESD,WESF,WSF2,WSF5,WT01,WT02,WT03,WT05,WT07,WT08,WT11
USC00048122,"SHAFTER 6 E, CA US",24/02/15,,,,,0.01,,,,66,39,48,,,,,,,,,,,,,
USC00048122,"SHAFTER 6 E, CA US",25/02/15,,,,,0,,,,63,38,48,,,,,,,,,,,,,
USC00048122,"SHAFTER 6 E, CA US",26/02/15,,,,,0,,,,67,37,48,,,,,,,,,,,,,
USC00048122,"SHAFTER 6 E, CA US",27/02/15,,,,,0,,,,67,41,49,,,,,,,,,,,,,
USC00048122,"SHAFTER 6 E, CA US",28/02/15,,,,,0,,,,68,42,50,,,,,,,,,,,,,
USC00048122,"SHAFTER 6 E, CA US",01/03/15,,,,,0.26,,,,68,42,45,,,,,,,,,,,,,
USC00048122,"SHAFTER 6 E, CA US",02/03/15,,,,,0.22,,,,59,45,50,,,,,,,,,,,,,
USC00048122,"SHAFTER 6 E, CA US",03/03/15,,,,,0.12,,,,61,43,50,,,,,,,,,,,,,
USC00048122,"SHAFTER 6 E, CA US",04/03/15,,,,,0,,,,63,41,47,,,,,,,,,,,,,
USC00048122,"SHAFTER 6 E, CA US",05/03/15,,,,,0,,,,69,40,49,,,,,,,,,,,,,
USC00048122,"SHAFTER 6 E, CA US",06/03/15,,,,,0,,,,72,39,49,,,,,,,,,,,,,
USC00048122,"SHAFTER 6 E, CA US",07/03/15,,,,,0,,,,73,40,47,,,,,,,,,,,,,
USC00048122,"SHAFTER 6 E, CA US",08/03/15,,,,,0,,,,78,40,48,,,,,,,,,,,,,
USC00048122,"SHAFTER 6 E, CA US",09/03/15,,,,,0,,,,78,44,51,,,,,,,,,,,,,
USC00048122,"SHAFTER 6 E, CA US",10/03/15,,,,,0,,,,79,44,50,,,,,,,,,,,,,
USC00048122,"SHAFTER 6 E, CA US",11/03/15,,,,,0,,,,86,47,62,,,,,,,,,,,,,
USC00048122,"SHAFTER 6 E, CA US",12/03/15,,,,,0,,,,70,47,52,,,,,,,,,,,,,
USC00048122,"SHAFTER 6 E, CA US",13/03/15,,,,,0,,,,71,47,54,,,,,,,,,,,,,
USC00048122,"SHAFTER 6 E, CA US",14/03/15,,,,,0,,,,82,47,60,,,,,,,,,,,,,
USC00048122,"SHAFTER 6 E, CA US",15/03/15,,,,,0,,,,88,47,62,,,,,,,,,,,,,
USC00048122,"SHAFTER 6 E, CA US",16/03/15,,,,,0,,,,90,52,57,,,,,,,,,,,,,
USC00048122,"SHAFTER 6 E, CA US",17/03/15,,,,,0,,,,78,52,56,,,,,,,,,,,,,
USC00048122,"SHAFTER 6 E, CA US",18/03/15,,,,,0,,,,71,52,56,,,,,,,,,,,,,
USC00048122,"SHAFTER 6 E, CA US",19/03/15,,,,,0,,,,74,53,58,,,,,,,,,,,,,
USC00048122,"SHAFTER 6 E, CA US",20/03/15,,,,,0,,,,80,50,56,,,,,,,,,,,,,
USC00048122,"SHAFTER 6 E, CA US",21/03/15,,,,,0,,,,81,47,56,,,,,,,,,,,,,
USC00048122,"SHAFTER 6 E, CA US",22/03/15,,,,,0,,,,83,45,56,,,,,,,,,,,,,
USC00048122,"SHAFTER 6 E, CA US",23/03/15,,,,,0,,,,78,49,53,,,,,,,,,,,,,
USC00048122,"SHAFTER 6 E, CA US",24/03/15,,,,,0,,,,73,50,56,,,,,,,,,,,,,
USC00048122,"SHAFTER 6 E, CA US",25/03/15,,,,,0,,,,71,45,52,,,,,,,,,,,,,
USC00048122,"SHAFTER 6 E, CA US",26/03/15,,,,,0,,,,77,45,53,,,,,,,,,,,,,
USC00048122,"SHAFTER 6 E, CA US",27/03/15,,,,,0,,,,88,47,54,,,,,,,,,,,,,
USC00048122,"SHAFTER 6 E, CA US",28/03/15,,,,,0,,,,82,51,57,,,,,,,,,,,,,
USC00048122,"SHAFTER 6 E, CA US",29/03/15,,,,,0,,,,85,52,59,,,,,,,,,,,,,
USC00048122,"SHAFTER 6 E, CA US",30/03/15,,,,,0,,,,91,50,59,,,,,,,,,,,,,
USC00048122,"SHAFTER 6 E, CA US",31/03/15,,,,,0,,,,88,49,66,,,,,,,,,,,,,
USC00048122,"SHAFTER 6 E, CA US",01/04/15,,,,,0,,,,78,44,56,,,,,,,,,,,,,
USC00048122,"SHAFTER 6 E, CA US",02/04/15,,,,,0,,,,74,42,51,,,,,,,,,,,,,
USC00048122,"SHAFTER 6 E, CA US",03/04/15,,,,,0,,,,71,41,52,,,,,,,,,,,,,
USC00048122,"SHAFTER 6 E, CA US",04/04/15,,,,,0,,,,78,43,54,,,,,,,,,,,,,
USC00048122,"SHAFTER 6 E, CA US",05/04/15,,,,,0,,,,72,40,52,,,,,,,,,,,,,
USC00048122,"SHAFTER 6 E, CA US",06/04/15,,,,,0,,,,79,40,51,,,,,,,,,,,,,
USC00048122,"SHAFTER 6 E, CA US",07/04/15,,,,,0,,,,67,46,52,,,,,,,,,,,,,
USC00048122,"SHAFTER 6 E, CA US",08/04/15,,,,,0.06,,,,68,42,48,,,,,,,,,,,,,
USC00048122,"SHAFTER 6 E, CA US",09/04/15,,,,,0,,,,66,42,48,,,,,,,,,,,,,
USC00048122,"SHAFTER 6 E, CA US",10/04/15,,,,,0,,,,69,39,50,,,,,,,,,,,,,
USC00048122,"SHAFTER 6 E, CA US",11/04/15,,,,,0,,,,77,41,52,,,,,,,,,,,,,
USC00048122,"SHAFTER 6 E, CA US",12/04/15,,,,,0,,,,78,41,53,,,,,,,,,,,,,
USC00048122,"SHAFTER 6 E, CA US",13/04/15,,,,,0,,,,80,47,59,,,,,,,,,,,,,
USC00048122,"SHAFTER 6 E, CA US",14/04/15,,,,,0,,,,87,47,55,,,,,,,,,,,,,
USC00048122,"SHAFTER 6 E, CA US",15/04/15,,,,,0,,,,70,38,52,,,,,,,,,,,,,
USC00048122,"SHAFTER 6 E, CA US",16/04/15,,,,,0,,,,74,38,59,,,,,,,,,,,,,
USC00048122,"SHAFTER 6 E, CA US",17/04/15,,,,,0,,,,82,40,60,,,,,,,,,,,,,
USC00048122,"SHAFTER 6 E, CA US",18/04/15,,,,,0,,,,84,47,62,,,,,,,,,,,,,
USC00048122,"SHAFTER 6 E, CA US",19/04/15,,,,,0,,,,87,46,62,,,,,,,,,,,,,
USC00048122,"SHAFTER 6 E, CA US",20/04/15,,,,,0,,,,89,52,65,,,,,,,,,,,,,
USC00048122,"SHAFTER 6 E, CA US",21/04/15,,,,,0,,,,87,51,59,,,,,,,,,,,,,
USC00048122,"SHAFTER 6 E, CA US",22/04/15,,,,,0,,,,78,53,57,,,,,,,,,,,,,
USC00048122,"SHAFTER 6 E, CA US",23/04/15,,,,,0,,,,77,53,60,,,,,,,,,,,,,
USC00048122,"SHAFTER 6 E, CA US",24/04/15,,,,,0,,,,79,53,58,,,,,,,,,,,,,
USC00048122,"SHAFTER 6 E, CA US",25/04/15,,,,,0,,,,75,44,50,,,,,,,,,,,,,
USC00048122,"SHAFTER 6 E, CA US",26/04/15,,,,,0.03,,,,70,44,50,,,,,,,,,,,,,
USC00048122,"SHAFTER 6 E, CA US",27/04/15,,,,,0,,,,75,48,62,,,,,,,,,,,,,
USC00048122,"SHAFTER 6 E, CA US",28/04/15,,,,,0,,,,81,56,70,,,,,,,,,,,,,
USC00048122,"SHAFTER 6 E, CA US",29/04/15,,,,,0,,,,93,54,68,,,,,,,,,,,,,
USC00048122,"SHAFTER 6 E, CA US",30/04/15,,,,,0,,,,91,55,70,,,,,,,,,,,,,
USC00048122,"SHAFTER 6 E, CA US",01/05/15,,,,,0,,,,91,55,69,,,,,,,,,,,,,
USC00048122,"SHAFTER 6 E, CA US",02/05/15,,,,,0,,,,97,53,71,,,,,,,,,,,,,
USC00048122,"SHAFTER 6 E, CA US",03/05/15,,,,,0,,,,93,52,71,,,,,,,,,,,,,
USC00048122,"SHAFTER 6 E, CA US",04/05/15,,,,,0,,,,90,53,60,,,,,,,,,,,,,
USC00048122,"SHAFTER 6 E, CA US",05/05/15,,,,,0,,,,84,53,58,,,,,,,,,,,,,
USC00048122,"SHAFTER 6 E, CA US",06/05/15,,,,,0,,,,83,51,57,,,,,,,,,,,,,
USC00048122,"SHAFTER 6 E, CA US",07/05/15,,,,,0,,,,78,49,59,,,,,,,,,,,,,
USC00048122,"SHAFTER 6 E, CA US",08/05/15,,,,,0,,,,71,48,56,,,,,,,,,,,,,
USC00048122,"SHAFTER 6 E, CA US",09/05/15,,,,,0,,,,67,55,65,,,,,,,,,,,,,
USC00048122,"SHAFTER 6 E, CA US",10/05/15,,,,,0,,,,77,55,65,,,,,,,,,,,,,
USC00048122,"SHAFTER 6 E, CA US",11/05/15,,,,,0,,,,87,51,64,,,,,,,,,,,,,
USC00048122,"SHAFTER 6 E, CA US",12/05/15,,,,,0,,,,84,49,58,,,,,,,,,,,,,
USC00048122,"SHAFTER 6 E, CA US",13/05/15,,,,,0,,,,77,45,60,,,,,,,,,,,,,
USC00048122,"SHAFTER 6 E, CA US",14/05/15,,,,,0.33,,,,71,53,55,,,,,,,,,,,,,
USC00048122,"SHAFTER 6 E, CA US",15/05/15,,,,,0,,,,71,53,55,,,,,,,,,,,,,
USC00048122,"SHAFTER 6 E, CA US",16/05/15,,,,,0,,,,69,49,56,,,,,,,,,,,,,
USC00048122,"SHAFTER 6 E, CA US",17/05/15,,,,,0,,,,77,52,60,,,,,,,,,,,,,
USC00048122,"SHAFTER 6 E, CA US",18/05/15,,,,,0,,,,76,54,59,,,,,,,,,,,,,
USC00048122,"SHAFTER 6 E, CA US",19/05/15,,,,,0,,,,77,54,60,,,,,,,,,,,,,
USC00048122,"SHAFTER 6 E, CA US",20/05/15,,,,,0,,,,78,54,60,,,,,,,,,,,,,
USC00048122,"SHAFTER 6 E, CA US",21/05/15,,,,,0,,,,78,56,56,,,,,,,,,,,,,
USC00048122,"SHAFTER 6 E, CA US",22/05/15,,,,,0.26,,,,69,43,55,,,,,,,,,,,,,
USC00048122,"SHAFTER 6 E, CA US",23/05/15,,,,,0.08,,,,70,55,66,,,,,,,,,,,,,
USC00048122,"SHAFTER 6 E, CA US",24/05/15,,,,,0.12,,,,78,54,70,,,,,,,,,,,,,
USC00048122,"SHAFTER 6 E, CA US",25/05/15,,,,,0,,,,81,57,63,,,,,,,,,,,,,
USC00048122,"SHAFTER 6 E, CA US",26/05/15,,,,,0,,,,87,59,65,,,,,,,,,,,,,
USC00048122,"SHAFTER 6 E, CA US",27/05/15,,,,,0,,,,84,47,64,,,,,,,,,,,,,
USC00048122,"SHAFTER 6 E, CA US",28/05/15,,,,,0,,,,88,56,67,,,,,,,,,,,,,
USC00048122,"SHAFTER 6 E, CA US",29/05/15,,,,,0,,,,89,57,72,,,,,,,,,,,,,
USC00048122,"SHAFTER 6 E, CA US",30/05/15,,,,,0,,,,93,58,71,,,,,,,,,,,,,
USC00048122,"SHAFTER 6 E, CA US",31/05/15,,,,,0,,,,97,59,73,,,,,,,,,,,,,
USC00048122,"SHAFTER 6 E, CA US",01/06/15,,,,,0,,,,96,55,63,,,,,,,,,,,,,
USC00048122,"SHAFTER 6 E, CA US",02/06/15,,,,,0,,,,85,55,64,,,,,,,,,,,,,
USC00048122,"SHAFTER 6 E, CA US",03/06/15,,,,,0,,,,86,58,67,,,,,,,,,,,,,
USC00048122,"SHAFTER 6 E, CA US",04/06/15,,,,,0,,,,87,56,65,,,,,,,,,,,,,
USC00048122,"SHAFTER 6 E, CA US",05/06/15,,,,,0,,,,83,54,68,,,,,,,,,,,,,
USC00048122,"SHAFTER 6 E, CA US",06/06/15,,,,,0,,,,90,59,69,,,,,,,,,,,,,
USC00048122,"SHAFTER 6 E, CA US",07/06/15,,,,,0,,,,96,62,68,,,,,,,,,,,,,
USC00048122,"SHAFTER 6 E, CA US",08/06/15,,,,,0,,,,96,54,82,,,,,,,,,,,,,
USC00048122,"SHAFTER 6 E, CA US",09/06/15,,,,,0,,,,102,63,76,,,,,,,,,,,,,
USC00048122,"SHAFTER 6 E, CA US",10/06/15,,,,,0.07,,,,84,67,76,,,,,,,,,,,,,
USC00048122,"SHAFTER 6 E, CA US",11/06/15,,,,,0,,,,92,63,71,,,,,,,,,,,,,
USC00048122,"SHAFTER 6 E, CA US",12/06/15,,,,,0.16,,,,91,63,75,,,,,,,,,,,,,
USC00048122,"SHAFTER 6 E, CA US",13/06/15,,,,,0,,,,95,68,78,,,,,,,,,,,,,
USC00048122,"SHAFTER 6 E, CA US",14/06/15,,,,,0,,,,103,69,80,,,,,,,,,,,,,
USC00048122,"SHAFTER 6 E, CA US",15/06/15,,,,,0,,,,101,59,77,,,,,,,,,,,,,
USC00048122,"SHAFTER 6 E, CA US",16/06/15,,,,,0,,,,99,58,76,,,,,,,,,,,,,
USC00048122,"SHAFTER 6 E, CA US",17/06/15,,,,,0,,,,97,57,73,,,,,,,,,,,,,
USC00048122,"SHAFTER 6 E, CA US",18/06/15,,,,,0,,,,100,63,81,,,,,,,,,,,,,
USC00048122,"SHAFTER 6 E, CA US",19/06/15,,,,,0,,,,101,58,72,,,,,,,,,,,,,
USC00048122,"SHAFTER 6 E, CA US",20/06/15,,,,,0,,,,100,59,72,,,,,,,,,,,,,
USC00048122,"SHAFTER 6 E, CA US",21/06/15,,,,,0,,,,98,60,75,,,,,,,,,,,,,
USC00048122,"SHAFTER 6 E, CA US",22/06/15,,,,,0,,,,100,55,74,,,,,,,,,,,,,
USC00048122,"SHAFTER 6 E, CA US",23/06/15,,,,,0,,,,94,41,76,,,,,,,,,,,,,
USC00048122,"SHAFTER 6 E, CA US",24/06/15,,,,,0,,,,95,58,73,,,,,,,,,,,,,
USC00048122,"SHAFTER 6 E, CA US",25/06/15,,,,,0,,,,98,63,66,,,,,,,,,,,,,
USC00048122,"SHAFTER 6 E, CA US",26/06/15,,,,,0,,,,105,65,69,,,,,,,,,,,,,
USC00048122,"SHAFTER 6 E, CA US",27/06/15,,,,,0,,,,98,67,78,,,,,,,,,,,,,
USC00048122,"SHAFTER 6 E, CA US",28/06/15,,,,,0,,,,97,74,80,,,,,,,,,,,,,
USC00048122,"SHAFTER 6 E, CA US",29/06/15,,,,,0,,,,105,69,76,,,,,,,,,,,,,
USC00048122,"SHAFTER 6 E, CA US",30/06/15,,,,,0,,,,96,71,85,,,,,,,,,,,,,
USC00048122,"SHAFTER 6 E, CA US",01/07/15,,,,,0,,,,105,73,79,,,,,,,,,,,,,
USC00048122,"SHAFTER 6 E, CA US",02/07/15,,,,,0,,,,101,76,85,,,,,,,,,,,,,
USC00048122,"SHAFTER 6 E, CA US",03/07/15,,,,,0,,,,100,70,83,,,,,,,,,,,,,
USC00048122,"SHAFTER 6 E, CA US",04/07/15,,,,,0,,,,101,68,83,,,,,,,,,,,,,
USC00048122,"SHAFTER 6 E, CA US",05/07/15,,,,,0,,,,100,71,82,,,,,,,,,,,,,
USC00048122,"SHAFTER 6 E, CA US",06/07/15,,,,,0,,,,101,59,74,,,,,,,,,,,,,
USC00048122,"SHAFTER 6 E, CA US",07/07/15,,,,,0,,,,94,53,76,,,,,,,,,,,,,
USC00048122,"SHAFTER 6 E, CA US",08/07/15,,,,,0,,,,93,65,71,,,,,,,,,,,,,
USC00048122,"SHAFTER 6 E, CA US",09/07/15,,,,,0,,,,92,56,67,,,,,,,,,,,,,
USC00048122,"SHAFTER 6 E, CA US",10/07/15,,,,,0,,,,85,53,65,,,,,,,,,,,,,
USC00048122,"SHAFTER 6 E, CA US",11/07/15,,,,,0,,,,86,53,66,,,,,,,,,,,,,
USC00048122,"SHAFTER 6 E, CA US",12/07/15,,,,,0,,,,89,60,72,,,,,,,,,,,,,
USC00048122,"SHAFTER 6 E, CA US",13/07/15,,,,,0,,,,92,47,74,,,,,,,,,,,,,
USC00048122,"SHAFTER 6 E, CA US",14/07/15,,,,,0,,,,92,49,74,,,,,,,,,,,,,
USC00048122,"SHAFTER 6 E, CA US",15/07/15,,,,,0,,,,95,40,74,,,,,,,,,,,,,
USC00048122,"SHAFTER 6 E, CA US",16/07/15,,,,,0,,,,95,53,76,,,,,,,,,,,,,
USC00048122,"SHAFTER 6 E, CA US",17/07/15,,,,,0,,,,97,57,78,,,,,,,,,,,,,
USC00048122,"SHAFTER 6 E, CA US",18/07/15,,,,,0,,,,98,53,80,,,,,,,,,,,,,
USC00048122,"SHAFTER 6 E, CA US",19/07/15,,,,,0.05,,,,101,60,74,,,,,,,,,,,,,
USC00048122,"SHAFTER 6 E, CA US",20/07/15,,,,,0,,,,91,72,77,,,,,,,,,,,,,
USC00048122,"SHAFTER 6 E, CA US",21/07/15,,,,,0,,,,92,73,84,,,,,,,,,,,,,
USC00048122,"SHAFTER 6 E, CA US",22/07/15,,,,,0,,,,98,73,79,,,,,,,,,,,,,
USC00048122,"SHAFTER 6 E, CA US",23/07/15,,,,,0,,,,95,53,65,,,,,,,,,,,,,
USC00048122,"SHAFTER 6 E, CA US",24/07/15,,,,,0,,,,92,58,69,,,,,,,,,,,,,
USC00048122,"SHAFTER 6 E, CA US",25/07/15,,,,,0,,,,93,59,70,,,,,,,,,,,,,
USC00048122,"SHAFTER 6 E, CA US",26/07/15,,,,,0,,,,94,57,72,,,,,,,,,,,,,
USC00048122,"SHAFTER 6 E, CA US",27/07/15,,,,,0,,,,95,58,74,,,,,,,,,,,,,
USC00048122,"SHAFTER 6 E, CA US",28/07/15,,,,,0,,,,94,61,72,,,,,,,,,,,,,
USC00048122,"SHAFTER 6 E, CA US",29/07/15,,,,,0,,,,96,57,78,,,,,,,,,,,,,
USC00048122,"SHAFTER 6 E, CA US",30/07/15,,,,,0,,,,104,62,89,,,,,,,,,,,,,
